,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
453890,453891,B00061EPLI,A6KKJEE76G36,Erika J. Muller,1,1,5,1180915200,Do you like your hot dogs to bite back?,"If you like your mustard to assert itself, this is the one for you!  It is fresh, hot and gives everything I've put it on a nice healthy kick in the taste buds.  I've only been able to find it locally in Rochester, NY so it is great to see that you can order it anywhere.  Do yourself a favor and kick up your next BBQ a few notches.  Slather this on a nice London Broil and I guarantee you will love it!"
108769,108770,B003DIOTX0,A27KZNRS5XMCB0,less than brave,0,0,5,1315958400,Best mac and cheese around for gluten allergy,I LOVE THIS PRODUCT!  I bought a second order a long time before I thought that I would and have signed up for subscribe and save.
139456,139457,B00112EUPM,A2XEM8MM6QMA2Q,Erin Marie Taylor,7,7,5,1300492800,I think I'm in love...,"I just got my order of the sampler pack in the mail today and decided to try out the Chocolate flavor first.  OMG, this is good!  I mixed it in a blender with 1 cup almond milk, 2 tbsp of PB2 (powdered peanut butter) and some ice.  It's like drinking a peanut butter cup.  Who knew eating well could taste so good?  I'm actually looking forward to trying the other flavors."
534200,534201,B001EO77FC,A3PSJY9HHVC3SK,"Gina Mann ""amazoniangrl""",2,2,5,1251072000,My dog thrives on this,"I have a 10 year old Aussie shep/heeler mix with chronic skin allergies -- I tried him on every premium dog food including grain free protein only formulas -- and none helped.  Other organic dog food also make him itch miserably.  But on the Newman's Own he's stopped the itching and shedding, and he absolutely devours this stuff.  LOVE IT!!!!"
72266,72267,B002FYJTCE,A9NSUWDKYUKFX,Jo,0,0,5,1350777600,Organic Free Range Chicken Broth,I love this chicken broth. I enjoy using it to make soups and sauces. It has a good natural flaver like fresh cooked chicken.
326660,326661,B002AQ0OW6,A87R87ANLCQ09,C. Gittins,2,2,5,1255824000,Good Tasting Coffee,I have enjoyed this decaf coffee.  Smooth taste.  I tend to enjoy Timothy's coffees.
261539,261540,B000MGWEZQ,A3DV8VDX9SAHWD,"Maverick ""Empire Builder""",2,2,5,1165363200,Mixes Easy and Taste Just like sugar!,It mixes very easy and tastes great without an aftertaste. I highly recommend it.
200060,200061,B000B6JD1A,A30ELDPP5TCQ8J,Bernard Farrell,1,1,5,1284595200,Amazingly delicious coffee caramels,I was introduced to these by a friend whose daughter was married in Costa Rica. She made wedding favors that contained a number of these chewy caramels.<br /><br />I ordered two bags and shared the contents with many friends. Everyone agreed these were delicious with an excellent coffee taste.<br /><br />There's a slight coffee aftertaste with these candies that might bother you. Though eating another one is a great way to get rid of it! :-)<br /><br />If you like coffee and caramel then you'll love these.
71267,71268,B004ET9OLY,ASD6HSPVYJREH,"S. Subhani ""SS""",1,1,5,1313107200,My baby eats these like candy . . .,"My 13-month-old has been eating these for several months, and can't get enough of them! The ingredients are good, great for self-feeding, and my baby acts like it's candy. She would eat a can per sitting if I would let her!"
20866,20867,B001EPPCFS,A1FOPK7XNU9MIR,Disappointed customer,2,3,1,1303257600,Selling McVitie  Biscuits close to expire April 2011???,Believe that it is not right to sell a package of 7 boxes of McVitie's Digestive Biscuits less than a month before they were scheduled to expire on April 2011.  If I had known you were going to do that I would not have bought them.<br />Please do inform your customers the expiration date when you advertisement on your website.
73549,73550,B000WG5AX4,A118HRSV9MQYHH,Renae W.,0,0,1,1267660800,I love bubble gum...but this was the worst,"When I ordered this from Always Direct the gum shell was very hard and crumbly and had somewhat of a chalky taste and the flavor lasted for about 5 seconds of a chew once I got through the hard and crumbly shell. FYI for bubble gum lovers: when the outer shell of the gumball starts to crumble off the gum itself, that's when you know ITS OLD!!!"
431378,431379,B000EVIDWW,A1CDT6OVBRXVDS,"keppy ""keppy""",2,2,5,1163116800,Mmmmmm,"These are great pretzels, better than regular ones.  Crunchy with just the right amount of salt.  Opened a bag at work and my co-workers ate them right up."
386522,386523,B000E1FXMU,A1SBCUF2XWCABA,Texas Beth,2,4,1,1197763200,"Great Product, but Amazon's warehouse is messed up","The product, as listed, is a CASE of 24, 1.5 ounce boxes of pudding mix.  Imagine my surprise when I opened the box to find ONE box (1.5 ounce, 6 servings) instead of the expected 24.  This leads to a call to Amazon with a customer service representative who unfortunately didn't know what Jell-O pudding was and was having a hard time understanding that there had been an error in the number of items shipped.  Ummmm...<br />who would pay $30 for six 1/2 cup servings of pudding???  This was finally understood and another order was placed (kindly, they did not require me to return the single box of pudding).  Low and behold, several days later the package arrives... AGAIN another single box of pudding instead of a case of 24 boxes.  Another phone call to Amazon, another rep who doesn't quite understand but finally decides to just credit me for the order and not require that I return the single package.  It was decided that we would not try to place the order again, as it would appear the warehouse has a problem filling orders for this item.  I orderd the chocolate flavor case of 24 and it arrived without problem... a carton of 24 boxes of pudding mix, as expected."
435126,435127,B00511ML8C,A1MMFSW19AM019,B. Wueste,5,5,5,1316649600,Absolutely delightful,"I couldn't disagree more with the review that claims these taste like sand. As far as gluten free cookies go it's hard to find anything more delicious than these. The fact that they're so small makes it a little tough to dip them in unhealthy things like Nutella or peanut butter, but it's still possible. They remind me a lot of Teddy Grahams, but if you look at the ingredient list you can actually recognize the ingredients instead of just a laundry list of chemicals and additives."
113824,113825,B000NXECSA,A2H2FIDB4YQNTS,memaw,0,0,4,1325462400,"Cappuccino, french vanilla","This has a good french vanilla flavor, but it could use a little more coffee and not have such a creamer taste."
233688,233689,B0044CZ6UO,ALVD5VQ4N5GIZ,Claudia,0,0,5,1313366400,Great for Smoothies!!!,"I take two of these and a few ounces of water.... mix them up in my daughter's straw cups, and VOILA...  a healthy smoothie, that they think is a treat, so shhhh, dont tell them!!!!"
461341,461342,B000CORSCW,A2YKMYVWAQ2RD7,C. Truong,0,0,5,1169164800,delicious!,"Okay, I love my orange fingers, but if I can buy something healthier and just as good tasting THIS IS IT.<br /><br />I'm not even going to mention the absence of orange fingers. Oh wait, I just did. Taste just as good. Just as satisfying, and a bit cheaper... Hard to believe but with Free shipping you can't go wrong. These sell for a fortune at the grocery store."
114003,114004,B000EYRHL2,A3TSC5SM4R25ZO,S. Collin,0,0,5,1195776000,Good gluten free snack,"Good sweet crunchy snack to have on hand wherever. Purse, car, office. One (1) WW point! High Vit C (22%), low cal (84) 2 grams fiber. They also come in organic but are more expensive. Good mixed with cereal and yogurt as well as by itself. I keep buying this by the case."
117617,117618,B000HDL1B2,A3E6XL1D0DCUTM,Carol Strickman,0,0,5,1327881600,No salt added Sardines - great,"Sardines are a really healthy food and I love them. Since I am now on low salt diet, I could not eat them. These sardines taste great and are not overly salty. (Fish has some salt in it.) I'm just sorry it took so long to receive them."
251836,251837,B002AN4TWK,A2ETDX2PIFTCQD,Amethyst Marzipan,0,0,5,1300924800,Extremely high quality cat food at affordable price,"I love BFF by Weruva because it's incredibly healthy, with only quality meats and supplements and no grains or by-products, but is so much cheaper than any other ""premium"" brand of comparable quality out there.  I don't even know how they manage to keep the price so reasonable.  The difference in quality is obvious when you open the can, as the food hasn't been ground into unrecognizable oblivion but still has identifiably shredded meat and looks a healthy flesh color, not some unsatisfying 'blah' brown.  I'm a student, so I'm on a very tight budget, but it's worth it to me to purchase BFF for my cats because I believe in preventative care.  Feed my cats well from the beginning and they'll live long, healthy, happy lives with less health problems that will leave me with expensive vet bills.  As for now, my cats and kitten gobble it up in a second flat.  It's obvious they love every flavor I've tried with them (and one is even quite picky).  Their fur is like silk, too.  This is clearly a great food."
308669,308670,B002P9D704,A3S6CGQ66CBDMR,Hansen M. Hsiung,0,1,4,1327363200,good tea,The tea is good and fresh. We enjoy it. The shipping is fast and cost is reasonable.<br />I recommend this product.
480632,480633,B0038NA3X0,A1Z9HKVWJTFF69,nicework,2,2,4,1332374400,Very good salt for a very good price,"I'll certainly be a repeat customer. I had a tough time finding large salt crystals to refill a grinder, but this fit the bill nicely.<br /><br />Flavor is clean with slight minerality. The color is not a deep as some other himalayan pink I've seen, but it's a very good finishing salt, and a good conversation piece when put on the table in a clear grinder.<br /><br />Also, the seller included a coupon for a future purchase in the package, which was a nice bonus."
93964,93965,B000HEUIB0,A1KIDK0L1R2P8H,Justin A. Turner,0,0,4,1324598400,JAW BREAKERS!!!,"Bit of a Jaw Breaker Fiend, these are... okay, the price is pretty good but there isn't a lot of flavor after the initial burst, it just tastes like sugar after that."
366945,366946,B001AIQP8M,A2Y8YFXEZWW34Y,Gluten-free Mom,12,13,5,1167782400,GREAT CHOCOLATE CHIP COOKIE,"These cookies are so crunchy and full of mini cholate chips.  It is hard to only eat one serving.  They do not 'taste' gluten free, they taste like regular chocolate chip cookies!"
269538,269539,B001EPPAUA,A2GMHYUX74Z6X6,"Dolores Monk ""Dee""",0,1,5,1306800000,Arrived Too Late,My mom loved this stuff for her candy and cookies. She never got a chance to use it because she passed away before she needed the oil. Be good to your mom.
212346,212347,B005EF0I0I,A2APE4IDJHXVUD,Matt,2,2,4,1323907200,"Good basket, If Buying As Gift Check First","I purchased this for myself and the contained coffees were quite good.  The extras were a bit mediocre, half due to weak packaging.  The sugar packets were included in a mislabeled box, as were the creamers.  For your average coffee drinker the extras will be a pleasant surprise, just make sure you break open the basket and check the contents if you are giving this as a gift."
58433,58434,B001ULH7P4,A26J1C8N72M3GB,Mommy in NC,0,1,5,1309824000,Yummy!,"These are easily dissolvable for smaller kids.  They are also addictively yummy.  They are a staple in my 4 year old's lunchbox, and for an easy snack for my one-year old!"
435170,435171,B000GRBTUC,A1KAJ4GJZ8TOU6,"Ro-bee ""Messy no more""",1,1,5,1206921600,My favorite almonds,"I have been ordering Maisie Jane's Organic Oven Roasted Almonds for a few months now.  i love them because they are organic, crunchy, oven roasted, always fresh, and a nice size.  Best of all, they come packaged in little 1.25 ounce portion sizes, which makes them a handy snack.<br />I eat almonds for my health, but love them so much that I have a tendency to overindulge if there's a large container in the house.  These handy little packets keep me in line, but provide me with an easy daily almond fix."
525178,525179,B000WLXMVQ,A3JZJQHY3159IQ,"L. Martinez ""-PawScore""",0,0,1,1309132800,Absolutely DISGUSTING! TOO SWEET!!,"I have to give it 1 star because they wont allow for any less... this ranch dressing is also waaaaaayyy too sweet, the chemical taste of the Splenda overtakes the taste of the actual product itself...I could never understand why they have to add soo much artificial sweetener to something such as a salad dressing, this is one of the five Walden's Calorie Free product I have tried and been VERY disappointed with... I was already taking my chances knowing it was sweetened with Splenda instead of Stevia but for God's sake why make it soo unpalatable?!  there are soo many alternatives out there and why kill it with soo much sweeterner?  My other reviews for these products may be around the same... but darn... I best just make my own dressing, might not be 100% calorie free but at least it will be consumable.  Why does RANCH need sugar?! WTF?  I have made ranch from scratch and never once did I add any sugar to it!  Also there is a dry chemical flavor that comes with this...  I am sooo lucky my healthfood store has a nice return policy because after tasting all these dressing products I could NOT use them and felt jipped because these aren't that cheap.."
397402,397403,B004XAPIOQ,A12A911I41KVFA,"Guam Mom ""Guam Mom""",0,0,5,1310601600,BIG thumbs up from my Celiac 9 year old!,"My daughter gave these a HUGE thumbs up! Her favorite cereal is Rice Krispies, and since being diagnosed with Celiac a year ago, she was unable to eat them. We've tried other brands of krispy rice that were gluten free, mostly brown rice ones, but she didnt like any of them. These she loves. Says they taste just like the regular ones. I cant wait to use them for rice krispy bars, and to bread chicken and pork. PLUS I found them at my local Walmart for $2.98 a box! THANK YOU Kelloggs for making my daugher's favorite gluten free!"
525136,525137,B001FZ0SVA,A3QRYMPR0ADQ2J,gardenia87,1,1,5,1287014400,My dog goes crazy for these!,"My chihuahua loves these, especially the peanut butter, chicken, and bacon varities. They have become increasingly hard to find at pet stores so I was happy to find them on amazon. I like that they are safer than rawhide bones and easy to digest and she really seems to enjoy them more than other bones I've bought for her. I tried a few other brands when I stopped being able to find the booda bones at pet stores and she would not even eat some of them. You can't go wrong with these, they are reasonibly priced, safe, help reduce tartar, and dogs seem to love them."
434672,434673,B001W429IO,A1MLDHXOM96KS2,"Sandy Ritter ""Funloving Oma""",0,0,5,1301616000,SandyRitterStuff,Bought these for my German husband. He missed this wondrous treat.  He takes one and dips it into his coffee and the lets it melt in his mouth!  Couldn't find these locally so glad they are on Amazon.
527572,527573,B000QSON4K,A18XKT6P111U2Y,"Robert White ""Goldenear""",12,12,5,1130457600,Pillpockets are a Lifesaver,"My dog Andy requires 3 pills 3 times a day. I started using Pillpockets almost two years ago. We have used the dreaded pill popper for many years. When the popper comes out, Andy beats a hasty retreat. We all hated it, as a lot of times the pills popped out, stayed in the popper, or he gagged on them. Since he had to have pills three times a day, it was a daily ordeal. It all changed when we tried Pill Pockets. He now looks forward to taking his pills. He loves the taste of the Pillpockets, I don't think we can now do without them. He likes them so much, we use them as treats for special occasions. They have made treating Andy a pleasant experience, rather than a ordeal. I wish I would have invented them."
370494,370495,B0049Z7PPK,AJ8SVXL3SJN7T,"Grider ""Just Horses""",0,0,5,1306368000,I am THRILLED that Amazon is now carrying these noodles,"See my review on the One lb package.  These noodles are better than any other brand in America.  I usually purchase the one pound package, but these half pound packages will be just fine.  Especially because they now ship free with super saver.  THANK YOU Amazon!  Put them into a couple of large ziplok freezer bags and they will keep forever."
417392,417393,B002OK6E6I,A2K35UX8W7V3EA,J. Ballstaedt,6,6,1,1347580800,Choose Natural SunButter instead!,"I accidentally purchased this product, thinking it was the Natural SunButter I usually buy in the store.  I thought the red cap looked different (the Natural has a yellow cap), but couldn't pinpoint what was different.  I quickly realized after reading the ingredients (sugar, mono-diglycerides) and tasting the product (YUCK!) that is was different.  It was harder in texture than the Natural SunButter because the mono-diglycerides prevent separation, and the taste was so bland and fake-tasting compared to the Natural SunButter. Don't get confused.  Buy the Natural SunButter with the yellow cap.  Same company, different (and better) product altogether."
270537,270538,B000FI2VHM,A2E2Y24DJR4GXD,"Point and Click ""P&C""",0,3,4,1199577600,Very Satisfied,Seed kit arrived quickly and my plants are currently growing strong.  Can't wait to begin the harvest!
219341,219342,B002NVZDR4,A19CYRWOJVZSS1,LL,2,2,5,1310342400,Great Drink but 6.8oz? Come ON!,"Nice drink, great really -  but needs a larger bottle. The 6.8 oz bottle is way too small.  I could easily drink a pack of 24 per day ... and probably what Fever-Tree is hoping!"
362739,362740,B000VVP2II,A2PXNDE9ZA9RF2,K. Dykman,0,0,5,1267660800,My dog loves them,Amazon has the best price I have found for this treat that my dog absolutely loves!
251817,251818,B002AN4TWK,A22S2SUMTF3ZBX,"Terri M. Pendleton ""gidgetgoes""",0,0,5,1342569600,Absolute Life Saver!,"My 14 year old kitty's mouth does not work so well anymore, and she has trouble eating most of the grain free wet foods, which tend to be too chunky or solid. This awesome wet food is full of jelly and broth as well as meat, and it's PERFECT for an old kitty's mouth. She has not eaten a full helping of cat food in YEARS, but the very first can of this stuff I set out for her was GONE almost instantly. She is usually constantly screaming for treats, but after having a full 3 ounce can of this, she is happy and scream free. I have never seen her take to a wet food so instantly and so completely. Yes, it smells like tuna...because it's made from tuna? It's pungent but she frickin' LOVES it. How nice to see my poor old girl eat every last bit of something. I am just so grateful I found this food! Will be ordering it on a regular basis. Thanks, BFF!"
247524,247525,B001E5DWW8,A2GV5597FVHWA8,Mark Nemec,1,4,5,1277337600,Gummi-liciouis,"Pros:  BIG bears, great taste, very soft.<br /><br />Cons:  Amazon makes you buy two 5-pound bags of the stuff.  A bit much."
379909,379910,B008EDKD84,A2CCDK0WAOAC62,iluvcats,0,0,5,1271548800,Good mix if you don't have time or ingredients for homemade,"We like this mix when time is shorter or I don't have everything I need for chicken curry made from scratch.  As noted before, it is a hot mix.  With Shan spice mixes though, you can use what you like, so if you're leery of the heat, I would suggest just using 1/4-1/2 a packet first. If you want it hotter next time, increase the amount.  I'm surprised at the price for this - we get these mixes locally for 99 cents a box."
490306,490307,B001E5DZJ8,A2ZE5ICI6LWAZ0,"Debra Schiff ""http://hereandthere123.blogspot...",3,3,4,1259193600,Excellent ingredient for many recipes,"I use this bouillon when I make rice to flavor and salt the rice. It's a bit on the salty side, so only using one cube per 4 cups of water (doubling the water in the recipe) nicely seasons rice. Additionally, the herbs add good flavor. I also have used this product in making vegetable and bean soups. It provides a tasty base, but again, if you are sensitive to salt, you might want to try the salt-free version of this vegan product. Lastly, the subscribe and save feature really drops the price. I work in a health food co-op and we sell this for much more (even with a discount)."
471498,471499,B000E65OT2,A47PD0N0YF0JK,"C. Ohler ""ecogal8515""",0,0,5,1205625600,Great breakfast drink,This is my favorite type of tea.  I love teas and have many types but this is the one that I drink every morning for breakfast.  Nothing can beat it.
298094,298095,B003AZ2ECY,A3T7JTXR86Q19X,Watching what I eat,2,2,5,1348185600,Addicted,"I am addicted to smart fries. I used to get the veggie straws which have the same type of texture. I love chips but have tried to change my eating habits to more healthy and low fat items. Smart fries give me cheese, crunchy and saltiness and they are guilt free in my book!<br />Yummy!"
292136,292137,B000VK08OC,AVEP3JJ7BP5MB,happy,1,1,5,1298851200,the very best product,"Both my 2 grandsons and I are enjoying this product. We are using it both as a sweetener and as a antibacterial. My grandsons want nothing else when comes to enjoy their breakfast and I use it very successfully for treating any skin problems they and I have. I am very happy for coming across this product and I try to make sure it is always available in my house.<a href=""http://www.amazon.com/gp/product/B001O0BL9E"">Active MGO 400+ (Old 20+) Manuka Honey 100% Pure by Manuka Health New Zealand Ltd. - 250 g</a><a href=""http://www.amazon.com/gp/product/B0018XX0WI"">100% Active 20+ Sterile Australian Manuka Honey Wound Management</a><a href=""http://www.amazon.com/gp/product/B000VK08OC"">Wedderspoon Raw Organic Manuka Honey Active 16+, 17.6-Ounce Jar</a><a href=""http://www.amazon.com/gp/product/B000VJUIN4"">Wedderspoon Raw Organic Manuka Honey Active 12+, 8.8-Ounce Jar</a>"
543970,543971,B006MONQMC,AHUT55E980RDR,Neal C. Reynolds,0,0,4,1339372800,Tastes good and works also with milk...I'm sold on it,"For once, we reviewers get enough of a food product to really test it and write up a fair review.  It works great with water, but I tried it with milk and it truly enhances that product also...it even blends well with chocolate milk and produces a good flavor.  I also tried it with coffee...the result was interesting, but I'll stick with using it with water and milk.<br /><br />It also seems to me that my energy level is a bit higher during the week that I've been using this.  I'm 79 and am tired more often than I should be...the past week, I've noticed that I've been noticeably less tired, so I am sold on this product.<br /><br />The one criticism is that a ""squeeze"" is an indeterminate amount and I don't always get quite the right amount.  I still recommend this."
528383,528384,B005ZFTV0K,A2LG8ZEU3WUPD0,Davi,0,0,5,1340150400,Perfect holiday gift,Bought these for my 75 yr old father who has everything!  He truly enjoyed them and said they were delivered very quickly.
513602,513603,B000VK33C6,A2UW6M4S2W8QOC,sunny3818,8,15,1,1291248000,Non existent customer service,"I purchased two bags of this dogfood, after one week of feeding the newman brand, my dog started vomiting after eating, she had gas all the time and lied around whimpering due to stomach ache, after having her checked for a stomach disorder, I took her off the newman dogfood and the symptoms disappeared.<br />I have sent three emails to newman dogfood website, no replies or acknowledgement, phone number not available, the dogfood is expensive and THE CUSTOMER SERVICE IS NON EXISTENT."
243566,243567,B0035RCRG0,AK1D80SV26Q30,Sushma Kaur,3,9,5,1302307200,Computer antidote,"My Teacher Yogi Bhajan (Kundalini Yoga) gave an antidote for being too long in the computer's energy field.<br />When you finish for the day, get at least 9 feet away (so your aura/electromagnetic field doesn't overlap with your computer). Then before you head home sprinkle finely ground ""black salt"" over a piece of fruit and eat it to balance your body chemistry from the effects of the computer's energy.<br />""You can get totally addicted to lightly sprinkling it over cut ripe mango."""
89615,89616,B002LANN56,A1B70ZEWQ6UH1A,Just Me,0,0,4,1345593600,"I use it as a TRAINING TREAT, not a meal","My dogs really like this food.  It is a great reward during training.  It's hard to find a good variety of nutritionally balanced training treats, so I was happy to find this.  The yellow and green kibbles are of a typical kibble texture and a nice size for a treat for a dog up to about 50 pounds.  The softer, squishy ""meaty"" looking pieces are of variable size.  Most are larger than the hard kibbles.  Some are quite small -- there will be a very small portion of the bag that ends up as topping for a meal.  Nutritionally and economically, it is not as good as the Eukanubia I use as my dogs' main diet.  So I do recommend this for use as a training treat!"
339803,339804,B0049RDI0Y,A36VO7O16TFF1D,Toni Bate,1,1,5,1299801600,Delicious!,"This coconut water tasted better than another brand I was buying a few years ago. We couldn't get it locally and were very glad to find it on Amazon. I promise, it doesn't need added sweetener. Delicious as is."
481004,481005,B000EF3JXQ,A39E4C7YVVQ02F,"Boomzilla ""Boomzilla""",1,1,5,1199836800,Wonderful!,"From the time I placed my order to the time it arrived (on schedule and well packed I might add), I was salivating like an over hydrated Pavlovian dog. And I am so happy?! Cheese sandwiches have never tasted so good. I'll never look at a tofu burger every again with raised eyebrows, and my ""Ponzu basted  rack of squirrel"" will tantalize the tastebuds of even the most jaded epicurean!"
29367,29368,B000PDY3P0,ADOANPOQU2SVT,John,0,0,5,1330041600,Good Stuff,This is great popcorn at a great price. I learned a lesson as well - don't buy the 8oz bags if you have a stove top hand crank popper - buy the 4oz. It's not easy splitting the 8 oz contents in 2.
6393,6394,B000084EK4,A1Z54EM24Y40LL,c2,0,0,3,1090972800,Great beef look,"This food variety is ground, thus my cat doesn't care that much for this variety. But, he liked the taste of it a lot so I have been buying it off and on throughout the years.  My previous cat really liked it so I've purchased quite a few of these.  It's got that liver smell to it but they like it so who cares? If your cat likes ground, give this one a try for sure."
104190,104191,B002FYAONM,A3OHGES2B1UGBT,Dreemz05,3,4,5,1288051200,Best Soy Froth Ever!,I use Pacific Soy on my Nespresso Aeroccino plus milk frother and it works like a charm. It produces some of the best tasting froth I have ever seen.
400396,400397,B001SAZ8G2,A38I5JR4PNA8C4,Nette,0,0,5,1339459200,healthy eating,"I have never liked the kind of sardines that you usually get from the supermarket. However, after reading how healthy they are for you, I decided to give these a try and they are really delicious. There are about 3 very meaty filets per tin, and no fish-y taste or smell. It is a great serving of protein for the price."
319930,319931,B000UBL0UI,A1NBZSX3MW4BL0,Dixie Deb,0,0,5,1311638400,"Best of the ""flavored"" coffees.",The Hazelnut flavored coffee is my favorite so far next to Dark Roast and Kenyon. Taste is such a personal thing that I can only say what I like. Ordering is predictable and as promised. No worries there.
543181,543182,B004DN7P4Y,A1RTNTCLR0WQX6,"yjzmd ""yz""",0,0,5,1327104000,awsome,"great product, great price, cheapest you can find anywhere. arrived on time, the tea is great for the afternoon for pick me up. no isssues, no complaints."
152683,152684,B0018CIPS8,A2U9S5TFQIOVUB,Cat lover,23,31,3,1275696000,Declining quality  of Taste of the Wild cat food,"I just realized that whole chicken has been deleted from the ingredients' list and that only chicken meal is used.  The protein content has also gone from 45% to 42%, which still sounds good, but I wonder how much of this protein is actually from meat.  Cats can only assimilate meat protein.<br /><br />I have decided not to use this food for my cats anymore."
363773,363774,B001M08YZA,A2SEJCAB402E2G,"Dog Lover 1024 ""Dog Lover 1024""",0,2,2,1237507200,So-so flavor,I wasn't a huge fan of this cereal.  It is not as sweet as other Special K cereal.  I think it does have a good proportion of protein though.<br /><br />I would not buy again.
260464,260465,B000NMJWZO,A1W77KRMST8AA4,inc pen,2,2,5,1292544000,YUM !!!!!!!!!!!!!!!!!!!!!,I have been eating gluten free for 3 years and it is the best ever. Coffee cake that tastes like grandma used to make. I make apple crisp that is outstanding !!!!!!!!!!!!!!!  Thank you.
538108,538109,B004I3Y4IE,A73I3YMD9MJ5W,"Regular Guy ""Bob""",0,0,5,1300492800,Taste French Toasty,"In my family we like to try special flavor type k-cups. I purchased this one without expectation, it was pretty good. In fact we went through the box no time and we probably have 20 different k-cups to choose from. I guess I have to call this one a winner because everyone wants me to re-order. So if you are trying to decide if you should give this one a try, all I can say is we did at my house and everyone wants more."
235978,235979,B000E7UJJ6,ALLTVPX5CHS50,Jennifer D. Hilderbrand,0,0,5,1286323200,Thai red curry paste,I have used this product several times....I think that it is great.  I plan to go to their website and order more similar items.  Thank You.
233786,233787,B000XZFZI4,A1W7JZ7WA7PY37,Catie,1,1,5,1328313600,BB for my minpin with a sensitive stomach ..,"I have a miniature pinscher with a sensitive stomach ..  I put him on BB fish and sweet potato and he doesnt throw up or have diarrhea any more .. and just recently we got a rescue female minpin  .. she had no problem at all adjusting to it ..  she hasnt gained weight tho ... (she's a little under weight)  but we have only had her a month .. after I had put my first dog on BB my vet had suggested the science diet ..  i just didnt like it .. cant explain why .. after a week I put him back on BB ... I am very happy with the thought of my minpins being so healthy from of this food ..  the smell doesnt bother me at all .. it is so much better than cleaning up after a sick dog ..  (the science diet smelled like chicken coop, maybe that's why I didnt like it) .."
281598,281599,B007RTR9DS,A1VQBEW0G4IH1J,L. Knights,0,0,3,1346112000,What is Nutrium 10?,"I recently tried Clear Scalp & Hair Therapy Ultra Shea Smooth & Nourish Conditioner and I really liked it, so I was excited to try this intense scalp nourishing balm without knowing much about it other than it's the same product line.  When I received it, I was surprised to see that the main ingredients are, Petrolatum, Mineral Oil & Lanolin Wax. Not sure what to do with it, I googled it and found a video saying you should rub it into the scalp, which sounds like a bad idea to me - rubbing petroleum jelly, a sealant, into your scalp. Wouldn't that just clog everything up? I also found the company seems to have mounted a massive blogger campaign so that most of the search results were bloggers who have been given the product to review and are all ""hey, they gave me this to review, so you should consider going out and buying it"". I was hoping to find just somebody on a forum somewhere talking about the uses they found for the product or something, but no such luck.<br /><br />I finally figured maybe it could help the ends of my hair. I have fine, thin hair that is down past my bra strap and I recently used Color Oops on it four times over the course of about six weeks to try and remove henna buildup and the ends are looking a bit dry and raggedy, but I am loathe to lose any length. I finally caved and cut about an inch off the ends and then after washing and conditioning my hair and letting it dry about halfway I put a little of this balm on my fingers and smoothed it through the last maybe six inches of my hair. Since petroleum jelly is a sealant and the first/main ingredient in the product, I figure this will seal in moisture as well as any conditioner left on my hair from the shower. I've done this a few times now and it works pretty well. I've found that with this on the ends of my hair it curls more easily and the curls last longer than normal.<br /><br />The jar says ""Moisture Lock Nutrium 10(tm) With Shea Butter"", and I have no idea what that's supposed to mean, but I think they are referring to the last ten ingredients in the tub, the ones that come after ""fragrance"".<br /><br />I don't think I'd buy this again because 1.) this container will probably last for years! and 2.) I think it's a little pricey for a tub of mostly just Petrolatum, Mineral Oil and Lanolin Wax. Plus Lanolin Wax is a little gross in my opinion. It's a yellow waxy substance secreted by the sebaceous glands of wool-bearing animals. I have my own sebaceous glands, thanks."
456661,456662,B000WRZR22,A3UOVOCX1G87NW,Nicole A. Muckridge,4,4,5,1240617600,Love this product!,"This works extremely well as a deodorant.  Be advised, though, that this is not an antipersperant and will not prevent sweating.  However, the scent is fantastic and keeps me smelling great all day long, including post-workout!  In my opinion, the smell is gender neutral too."
196314,196315,B0040PWW84,A2UTZ4O5E2W4DK,"Ellie ""Eilean Siar""",2,2,5,1334016000,Peachy keen,"Really! These are great tasting canned, sliced fruit which are as good or better than I get at my local supermarket without the hassle of lugging them home. I bought three cases (2 peaches, 1 pears) which arrived at my doorstep astoundingly fast, considering that they were shipped about a thousand miles to me by truck, I assume.  And there was no damage to the cans whatsoever.<br /><br />The expiration dates for the peaches and pears respectively were december/2013 and december/2014. One reason I bought these items was that it is difficult to find virtually any food product at the supermarket that has low/no sugar. These, in pear juice, were the closest I could get. Pricewise, they were comparable and I bought enough in dollars to get Amazon's free shipping deal.<br /><br />I may be buying more of my bulk groceries through Amazon. There is no guarantee you will have the same happy shipping experience I did, but it's worth trying. You can spend your time in more enjoyable ways that hauling heavy items home from the grocery store. That's the value of these, to me.<br /><br />RECOMMENDED."
74595,74596,B00471M9K2,AR4TOA59NAKYM,Boscardo,0,2,2,1331251200,Totonac Sugar Free Syrups,"I ordered the complete set of Totonac sugar free syrups and tested them out with my morning Kellogg's Eggo waffles.<br /><br />Some of the syrups are pretty good; others are really not my thing and I threw them out. My verdict/opinion is: Almond, Maple Syrup and Vanilla are pretty good; the Raspberry is okay (if you crave some fruit taste); but I couldn't handle the taste of the Blueberry, Butter Pecan, Caramel, Hazelnut and Vanilla Cinnamon.<br /><br />The syrup is not thick like most syrups on the market; it's more runny and I find myself pouring some syrup out on to a plate and then dipping pieces of torn waffles."
